sentiment_numeric,confidence,title_length,title_word_count,title_has_number,title_has_question,title_has_exclaim,has_comments_text,hour,day_of_week,is_weekend,is_peak_hour,topic_confidence,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,has_org_mention,org_mention_count,has_person_mention,flair_ADBLOCK WARNING,flair_Artificial Intelligence,flair_Biotechnology,flair_Business,flair_Comcast,flair_Crypto,flair_Energy,flair_Hardware,flair_Machine Learning,flair_Misleading,flair_Nanotech/Materials,flair_Net Neutrality,flair_Networking/Telecom,flair_Other,flair_Politics,flair_Privacy,flair_Robotics/Automation,flair_Security,flair_Social Media,flair_Society,flair_Software,flair_Space,flair_Transportation,viral
-1,0.6294,80,15,0,0,0,1,19,2,0,1,0.3181,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,5,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,0.7877,76,11,0,0,0,1,20,2,0,1,0.3519,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.9459,119,20,0,0,0,1,4,3,0,0,0.3997,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,3,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.9065,82,14,1,0,0,1,1,3,0,0,0.5824,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
-1,0.6885,51,8,0,0,0,1,16,3,0,1,0.5229,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,9,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,0.6814,61,8,1,0,0,1,20,3,0,1,0.6465,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,2,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.7114,72,12,0,0,0,1,15,3,0,1,0.2875,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,3,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.6899,74,16,1,0,0,1,20,3,0,1,0.5019,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,4,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.7117,94,13,0,0,0,1,6,3,0,0,0.397,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
-1,0.7728,80,11,0,0,0,1,0,3,0,0,0.5111,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
-1,0.8794,72,12,0,0,0,1,3,3,0,0,0.3201,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,0.8604,38,7,0,0,0,1,19,2,0,1,0.5116,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.8246,50,7,0,0,0,1,23,2,0,0,0.4966,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.5456,173,25,0,0,0,1,18,3,0,1,0.3506,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.674,71,12,1,0,0,1,0,3,0,0,0.5585,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,0.9184,243,42,1,0,0,1,21,3,0,1,0.7732,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.7908,61,9,1,0,0,1,2,3,0,0,0.7282,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,0.5397,81,10,1,0,0,0,10,3,0,1,0.6571,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.5298,57,10,0,0,0,1,8,3,0,1,0.4712,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,3,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.6781,89,17,1,0,0,1,19,3,0,1,0.4679,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.7909,109,17,0,0,0,0,15,3,0,1,0.7722,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,4,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.5435,62,9,1,0,0,1,0,3,0,0,0.4859,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,4,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.8655,71,11,1,0,0,1,16,3,0,1,0.3473,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
-1,0.863,72,14,1,0,0,1,17,2,0,1,0.3309,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0,0.8225,62,10,0,0,0,0,20,3,0,1,0.6111,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.502,31,5,1,0,0,1,0,2,0,0,0.6985,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.8913,62,10,0,0,0,0,17,3,0,1,0.5934,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.7775,64,13,0,0,0,1,21,3,0,1,0.4562,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
-1,0.8216,60,9,0,0,0,1,21,2,0,1,0.679,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
-1,0.6733,67,14,1,0,0,1,7,2,0,0,0.5881,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
0,0.676,76,13,0,0,0,0,5,3,0,0,0.3909,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
1,0.9244,86,18,0,0,0,1,23,2,0,0,0.2598,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.4913,84,11,0,0,0,1,11,3,0,1,0.4862,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.5744,165,23,1,0,0,0,5,3,0,0,0.7067,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
1,0.4469,120,23,1,0,0,1,2,3,0,0,0.6179,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.7389,47,10,0,0,0,1,21,2,0,1,0.4888,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
-1,0.626,177,29,1,0,0,1,2,2,0,0,0.6432,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,3,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.7038,87,17,0,0,0,1,1,2,0,0,0.5384,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.5703,61,10,1,0,0,1,8,2,0,1,0.5041,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
-1,0.5082,92,15,0,0,0,0,3,3,0,0,0.4655,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,3,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.8135,79,14,0,0,0,1,19,2,0,1,0.2754,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.5619,89,12,0,0,0,0,6,3,0,0,0.6884,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
0,0.9018,60,9,1,0,0,0,4,2,0,0,0.6133,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.7198,80,12,0,0,0,0,15,2,0,1,0.4703,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,0.9041,91,13,0,0,0,0,10,2,0,1,0.4177,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.543,91,16,1,0,0,0,20,2,0,1,0.5228,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.6727,111,16,0,0,0,0,4,3,0,0,0.4043,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,0.5849,58,9,0,0,0,0,10,2,0,1,0.6569,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
0,0.8608,86,14,1,0,0,0,12,2,0,1,0.6584,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.7989,272,37,0,0,0,0,15,2,0,1,0.7312,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0,0.8096,44,8,0,0,0,0,19,2,0,1,0.327,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
-1,0.5481,169,29,0,0,0,0,22,2,0,1,0.6528,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
1,0.5537,87,14,1,0,0,0,8,3,0,1,0.7399,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.6594,99,12,0,0,0,0,8,2,0,1,0.658,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.5744,64,9,0,0,0,0,23,1,0,0,0.4791,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.7585,65,11,1,0,0,0,21,2,0,1,0.5333,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.5157,59,10,0,0,0,0,3,3,0,0,0.3681,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.6997,42,7,0,0,0,0,19,1,0,1,0.6877,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.6552,136,20,0,0,0,0,9,2,0,1,0.4947,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,0.9357,56,11,0,0,0,0,0,3,0,0,0.5931,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.5339,49,6,0,0,0,0,4,2,0,0,0.6129,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
0,0.8531,159,27,0,0,0,0,6,2,0,0,0.5091,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
